dataset,algorithm,params,n_clusters,ARI,time
taichi3,OPTICS,"{'min_cluster_size': 0.1, 'min_samples': 15, 'xi': 0.05, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.7366314357700404,1.6018681526184082
taichi3,OPTICS,"{'min_cluster_size': 0.1, 'min_samples': 15, 'xi': 0.1, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.9774970705312328,1.5215301513671875
taichi3,OPTICS,"{'min_cluster_size': 0.2, 'min_samples': 5, 'xi': 0.025, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.9347586893063081,1.387389898300171
taichi3,OPTICS,"{'min_cluster_size': 0.2, 'min_samples': 5, 'xi': 0.05, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.9750791367899759,1.432790994644165
taichi3,OPTICS,"{'min_cluster_size': 0.2, 'min_samples': 5, 'xi': 0.1, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.9774970705312328,1.4248480796813965
taichi3,OPTICS,"{'min_cluster_size': 0.2, 'min_samples': 7, 'xi': 0.025, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.9443496261780588,1.406747817993164
taichi3,OPTICS,"{'min_cluster_size': 0.2, 'min_samples': 7, 'xi': 0.05, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.9774970705312328,1.4725010395050049
taichi3,OPTICS,"{'min_cluster_size': 0.2, 'min_samples': 7, 'xi': 0.1, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.9774970705312328,1.5401372909545898
taichi3,OPTICS,"{'min_cluster_size': 0.2, 'min_samples': 10, 'xi': 0.025, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.6915106145349408,1.5629379749298096
taichi3,OPTICS,"{'min_cluster_size': 0.2, 'min_samples': 10, 'xi': 0.05, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.6915106145349408,1.5605881214141846
taichi3,OPTICS,"{'min_cluster_size': 0.2, 'min_samples': 10, 'xi': 0.1, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.9774970705312328,1.5840246677398682
taichi3,OPTICS,"{'min_cluster_size': 0.2, 'min_samples': 15, 'xi': 0.025, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.9774970705312328,1.5166687965393066
taichi3,OPTICS,"{'min_cluster_size': 0.2, 'min_samples': 15, 'xi': 0.05, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.9774970705312328,1.6489636898040771
taichi3,OPTICS,"{'min_cluster_size': 0.2, 'min_samples': 15, 'xi': 0.1, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.9774970705312328,1.5681769847869873
taichi3,BIRCH,"{'n_clusters': 1, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",1,0.0,0.024654150009155273
taichi3,BIRCH,"{'n_clusters': 2, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",2,0.06099493635159739,0.022146940231323242
taichi3,BIRCH,"{'n_clusters': 3, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",3,0.07976407482497537,0.021831035614013672
taichi3,BIRCH,"{'n_clusters': 4, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.055600231850810096,0.0220181941986084
taichi3,BIRCH,"{'n_clusters': 5, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.10820235291994973,0.022427082061767578
taichi3,GaussianMixture,"{'n_clusters': 1, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",1,0.0,0.023468971252441406
taichi3,GaussianMixture,"{'n_clusters': 2, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",2,0.05252005463727174,0.03491687774658203
taichi3,GaussianMixture,"{'n_clusters': 3, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",3,0.10757585574903174,0.055795907974243164
taichi3,GaussianMixture,"{'n_clusters': 4, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.10224007331137656,0.05303239822387695
taichi3,GaussianMixture,"{'n_clusters': 5, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.10185484311703748,0.022897005081176758
taichi3,Modularity(kNN+Leiden),"{'resolution': 0.0001, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.7238899681635809,0.2953989505767822
taichi3,Modularity(kNN+Leiden),"{'resolution': 0.001, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.9779324175443828,0.18567705154418945
taichi3,Modularity(kNN+Leiden),"{'resolution': 0.01, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",6,0.7113846181444058,0.19200587272644043
taichi3,Modularity(kNN+Leiden),"{'resolution': 0.1, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",10,0.4314083438863939,0.1927051544189453
taichi3,Modularity(kNN+Leiden),"{'resolution': 0.8, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",27,0.1493447594506055,0.18257713317871094
taichi3,Modularity(kNN+Leiden),"{'resolution': 1, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",27,0.14078096759011546,0.17266392707824707
taichi,MiniBatchKMeans,"{'n_clusters': 1, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",1,0.0,0.00908803939819336
